floor_regime,regime,concentration,contention,policy,n_seeds,completion_mean,tasks_per_run_mean,diff_vs_equal,diff_vs_equal_tasks,diff_vs_equal_ci_lo,diff_vs_equal_ci_hi,diff_vs_drf,diff_vs_drf_tasks,frac_zero_completion,frac_worse_than_equal,agent_completion_min,agent_completion_p5,frac_alloc_cells_at_lower,frac_agents_any_used_at_lower,alloc_distance_from_equal,capacity_utilization,capacity_violation,bound_violation,infeasible_runs,floor_fraction_mean
proportional_0.25,dirichlet_0.03,0.03,moderate,drf,30,0.6951388888888886,33.36666666666665,-0.013888888888888888,-0.6666666666666666,-0.02916666666666667,0.002083333333333337,0.0,0.0,0.0,0.29444444444444445,0.125,0.25,0.007849293563579277,0.01111111111111111,0.1957634334596462,0.8848244968668709,0,0,0,0.24878554096591537
proportional_0.25,dirichlet_0.03,0.03,moderate,joint_linear,30,0.26805555555555555,12.866666666666667,-0.4409722222222223,-21.16666666666667,-0.47430555555555554,-0.4069444444444445,-0.4270833333333333,-20.5,0.0,0.9555555555555556,0.125,0.125,0.31711145996860285,0.772222222222222,0.5353470310664614,0.31142955801454525,0,0,0,0.24878554096591537
proportional_0.50,dirichlet_0.03,0.03,high,equal,30,0.47777777777777775,22.93333333333333,0.0,0.0,0.0,0.0,-0.02986111111111111,-1.4333333333333331,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.8751173056261824,0,0,0,0.4983633017774343
proportional_0.50,dirichlet_0.03,0.03,high,drf,30,0.5076388888888889,24.366666666666667,0.02986111111111111,1.4333333333333331,0.01111111111111111,0.046527777777777786,0.0,0.0,0.0,0.3388888888888889,0.125,0.25,0.10204081632653061,0.09999999999999999,0.2552144867184527,0.8584646998167051,0,0,0,0.4983633017774343
proportional_0.50,dirichlet_0.03,0.03,high,joint_linear,30,0.2874999999999999,13.799999999999997,-0.19027777777777777,-9.133333333333333,-0.20902777777777778,-0.1701388888888889,-0.2201388888888889,-10.566666666666668,0.0,0.9277777777777778,0.125,0.24375000000000013,0.4489795918367347,0.8333333333333333,0.5078804199196071,0.5011463047863658,0,0,0,0.4983633017774343
proportional_0.50,dirichlet_0.03,0.03,moderate,equal,30,0.7173611111111111,34.43333333333334,0.0,0.0,0.0,0.0,0.012499999999999992,0.5999999999999996,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.9106667869159739,0,0,0,0.49922700780032286
proportional_0.50,dirichlet_0.03,0.03,moderate,drf,30,0.7048611111111109,33.83333333333333,-0.012499999999999992,-0.5999999999999996,-0.03055555555555555,0.00625,0.0,0.0,0.0,0.3611111111111111,0.25,0.375,0.10204081632653061,0.09444444444444443,0.2344745297177462,0.8960230749751162,0,0,0,0.49922700780032286
proportional_0.50,dirichlet_0.03,0.03,moderate,joint_linear,30,0.46944444444444444,22.53333333333333,-0.24791666666666667,-11.9,-0.2771006944444445,-0.21944444444444447,-0.23541666666666664,-11.299999999999999,0.0,0.8611111111111112,0.25,0.375,0.36106750392464676,0.7833333333333332,0.40516562215928925,0.5538713657676587,0,0,0,0.49922700780032286
proportional_0.75,dirichlet_0.03,0.03,high,equal,30,0.4756944444444444,22.833333333333332,0.0,0.0,0.0,0.0,-0.027777777777777783,-1.3333333333333335,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.9110874431181917,0,0,0,0.7479263822771627
proportional_0.75,dirichlet_0.03,0.03,high,drf,30,0.5034722222222221,24.16666666666666,0.027777777777777783,1.3333333333333335,0.012482638888888892,0.042361111111111134,0.0,0.0,0.0,0.21666666666666667,0.25,0.375,0.38618524332810045,0.3777777777777777,0.21719003956912314,0.8876880543917028,0,0,0,0.7479263822771627
proportional_0.75,dirichlet_0.03,0.03,high,joint_linear,30,0.4124999999999999,19.799999999999997,-0.06319444444444446,-3.033333333333334,-0.08333333333333331,-0.04375,-0.09097222222222223,-4.366666666666667,0.0,0.5833333333333334,0.25,0.25,0.5745682888540031,0.8444444444444443,0.3310172866423887,0.735524383728802,0,0,0,0.7479263822771627
proportional_0.75,dirichlet_0.03,0.03,moderate,equal,30,0.7152777777777776,34.33333333333332,0.0,0.0,0.0,0.0,-0.0013888888888888913,-0.06666666666666679,0.0,0.0,0.5,0.625,0.0,0.0,0.0,0.933149072182104,0,0,0,0.7484403752055081
proportional_0.75,dirichlet_0.03,0.03,moderate,drf,30,0.7166666666666668,34.400000000000006,0.0013888888888888913,0.06666666666666679,-0.010416666666666652,0.013194444444444453,0.0,0.0,0.0,0.4166666666666667,0.125,0.5,0.3751962323390895,0.3888888888888889,0.20956905855911637,0.9096084794801313,0,0,0,0.7484403752055081
proportional_0.75,dirichlet_0.03,0.03,moderate,joint_linear,30,0.5881944444444446,28.23333333333334,-0.12708333333333333,-6.1,-0.14930555555555552,-0.10553819444444452,-0.12847222222222224,-6.166666666666668,0.0,0.8388888888888889,0.125,0.5,0.5102040816326531,0.8166666666666665,0.2883130570188051,0.7619440153854294,0,0,0,0.7484403752055081
unit,dirichlet_0.03,0.03,high,equal,30,0.48055555555555557,23.066666666666666,0.0,0.0,0.0,0.0,-0.022916666666666672,-1.1000000000000003,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.8135963827155728,0,0,0,0.02464598947947596
unit,dirichlet_0.03,0.03,high,drf,30,0.5034722222222222,24.166666666666664,0.022916666666666672,1.1000000000000003,0.006944444444444457,0.038888888888888896,0.0,0.0,0.005555555555555556,0.21666666666666667,0.0,0.125,0.0015698587127158557,0.005555555555555555,0.22107201537037013,0.8480012167497307,0,0,0,0.02464598947947596
unit,dirichlet_0.03,0.03,high,joint_linear,30,0.06041666666666667,2.9,-0.42013888888888895,-20.16666666666667,-0.4513888888888888,-0.3881944444444444,-0.44305555555555554,-21.266666666666666,0.7111111111111111,1.0,0.0,0.0,0.37990580847723704,0.8333333333333333,0.8218714094238848,0.0746496704234548,0,0,0,0.02464598947947596
unit,dirichlet_0.03,0.03,moderate,equal,30,0.7006944444444445,33.63333333333334,0.0,0.0,0.0,0.0,0.0055555555555555506,0.26666666666666644,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.8696497423925559,0,0,0,0.016871305110790644
unit,dirichlet_0.03,0.03,moderate,drf,30,0.6951388888888886,33.36666666666665,-0.0055555555555555506,-0.26666666666666644,-0.021527777777777767,0.00972222222222224,0.0,0.0,0.0,0.26666666666666666,0.125,0.25,0.0015698587127158557,0.005555555555555555,0.18138928394675055,0.8848244968668709,0,0,0,0.016871305110790644
unit,dirichlet_0.03,0.03,moderate,joint_linear,30,0.12569444444444447,6.033333333333335,-0.575,-27.599999999999998,-0.6145833333333333,-0.5319270833333334,-0.5694444444444444,-27.333333333333332,0.5055555555555555,0.9777777777777777,0.0,0.0,0.2668759811616955,0.7388888888888888,0.6483450636323259,0.12121971518959627,0,0,0,0.016871305110790644
zero,dirichlet_0.03,0.03,high,equal,30,0.48055555555555557,23.066666666666666,0.0,0.0,0.0,0.0,-0.022916666666666672,-1.1000000000000003,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.8135963827155728,0,0,0,0.0
zero,dirichlet_0.03,0.03,high,drf,30,0.5034722222222222,24.166666666666664,0.022916666666666672,1.1000000000000003,0.006944444444444446,0.039583333333333325,0.0,0.0,0.005555555555555556,0.21666666666666667,0.0,0.125,0.0,0.0,0.22107201537037013,0.8480012167497307,0,0,0,0.0
zero,dirichlet_0.03,0.03,high,joint_linear,30,0.03888888888888888,1.8666666666666663,-0.44166666666666665,-21.2,-0.47083333333333327,-0.4103993055555556,-0.4645833333333333,-22.299999999999997,0.8777777777777778,1.0,0.0,0.0,0.3783359497645212,0.8333333333333333,0.8362114864764025,0.050717159154567155,0,0,0,0.0
zero,dirichlet_0.03,0.03,moderate,equal,30,0.7006944444444445,33.63333333333334,0.0,0.0,0.0,0.0,0.0055555555555555506,0.26666666666666644,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.8696497423925559,0,0,0,0.0
zero,dirichlet_0.03,0.03,moderate,drf,30,0.6951388888888886,33.36666666666665,-0.0055555555555555506,-0.26666666666666644,-0.021527777777777767,0.010416666666666682,0.0,0.0,0.0,0.26666666666666666,0.125,0.25,0.0,0.0,0.18138928394675055,0.8848244968668709,0,0,0,0.0
zero,dirichlet_0.03,0.03,moderate,joint_linear,30,0.09166666666666669,4.400000000000001,-0.6090277777777777,-29.23333333333333,-0.6451388888888888,-0.56875,-0.6034722222222223,-28.96666666666667,0.7666666666666667,0.9777777777777777,0.0,0.0,0.2621664050235479,0.7388888888888888,0.6543198895971434,0.09172400795827067,0,0,0,0.0
proportional_0.10,dirichlet_0.1,0.1,high,equal,30,0.4868055555555556,23.366666666666667,0.0,0.0,0.0,0.0,-0.03194444444444445,-1.5333333333333337,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.843976684097483,0,0,0,0.09745101622235317
proportional_0.10,dirichlet_0.1,0.1,high,drf,30,0.51875,24.900000000000002,0.03194444444444445,1.5333333333333337,0.020138888888888894,0.04444444444444446,0.0,0.0,0.005555555555555556,0.18333333333333332,0.0,0.125,0.0,0.0,0.1926491392147794,0.8737277527264395,0,0,0,0.09745101622235317
proportional_0.10,dirichlet_0.1,0.1,high,joint_linear,30,0.08680555555555555,4.166666666666666,-0.4,-19.200000000000003,-0.43124999999999997,-0.3680555555555556,-0.43194444444444446,-20.733333333333334,0.5888888888888889,0.9666666666666667,0.0,0.0,0.3907185628742515,0.8388888888888889,0.7798479407356136,0.1326742972829785,0,0,0,0.09745101622235317
proportional_0.10,dirichlet_0.1,0.1,moderate,equal,30,0.7118055555555555,34.166666666666664,0.0,0.0,0.0,0.0,-0.010416666666666675,-0.5000000000000004,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.8913206057234757,0,0,0,0.0979779768624986
proportional_0.10,dirichlet_0.1,0.1,moderate,drf,30,0.7222222222222221,34.66666666666666,0.010416666666666675,0.5000000000000004,-0.008333333333333314,0.029861111111111116,0.0,0.0,0.005555555555555556,0.18888888888888888,0.0,0.375,0.0,0.0,0.1819243047958457,0.9073496566690765,0,0,0,0.0979779768624986
proportional_0.10,dirichlet_0.1,0.1,moderate,joint_linear,30,0.1875,9.0,-0.5243055555555556,-25.166666666666668,-0.5659722222222221,-0.48053819444444446,-0.5347222222222222,-25.666666666666664,0.4,0.9777777777777777,0.0,0.0,0.2904191616766467,0.788888888888889,0.604486237944395,0.19603802074268412,0,0,0,0.0979779768624986
proportional_0.25,dirichlet_0.1,0.1,high,equal,30,0.4833333333333334,23.200000000000003,0.0,0.0,0.0,0.0,-0.03541666666666668,-1.7000000000000006,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.859289183685736,0,0,0,0.24766347675719316
proportional_0.25,dirichlet_0.1,0.1,high,drf,30,0.51875,24.900000000000002,0.03541666666666668,1.7000000000000006,0.023611111111111114,0.04791666666666667,0.0,0.0,0.005555555555555556,0.17777777777777778,0.0,0.125,0.0074850299401197605,0.01111111111111111,0.1929777014757347,0.8737277527264395,0,0,0,0.24766347675719316
proportional_0.25,dirichlet_0.1,0.1,high,joint_linear,30,0.17569444444444443,8.433333333333334,-0.3076388888888889,-14.766666666666667,-0.33333333333333326,-0.2826388888888889,-0.34305555555555556,-16.46666666666667,0.06111111111111111,0.9555555555555556,0.0,0.0,0.41467065868263475,0.8388888888888889,0.6843156418135102,0.2718163821909626,0,0,0,0.24766347675719316
proportional_0.25,dirichlet_0.1,0.1,moderate,equal,30,0.7159722222222221,34.36666666666666,0.0,0.0,0.0,0.0,-0.005555555555555558,-0.26666666666666683,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.90304081464905,0,0,0,0.2487277956232196
proportional_0.25,dirichlet_0.1,0.1,moderate,drf,30,0.7215277777777777,34.633333333333326,0.005555555555555558,0.26666666666666683,-0.013888888888888885,0.024305555555555566,0.0,0.0,0.0,0.2,0.125,0.375,0.0074850299401197605,0.01111111111111111,0.1799136571107905,0.9079316672510872,0,0,0,0.2487277956232196
proportional_0.25,dirichlet_0.1,0.1,moderate,joint_linear,30,0.3020833333333333,14.5,-0.41388888888888886,-19.866666666666667,-0.4569444444444445,-0.3722222222222223,-0.41944444444444445,-20.133333333333333,0.0,0.9444444444444444,0.125,0.125,0.3278443113772455,0.8333333333333334,0.5258431518891393,0.34801855448208474,0,0,0,0.2487277956232196
proportional_0.50,dirichlet_0.1,0.1,high,equal,30,0.4826388888888889,23.166666666666668,0.0,0.0,0.0,0.0,-0.04166666666666666,-1.9999999999999996,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.8893886972952146,0,0,0,0.4983256795427428
proportional_0.50,dirichlet_0.1,0.1,high,drf,30,0.5243055555555556,25.166666666666668,0.04166666666666666,1.9999999999999996,0.028472222222222218,0.05486111111111109,0.0,0.0,0.0,0.2222222222222222,0.125,0.25,0.05688622754491018,0.061111111111111116,0.21153801343087272,0.8796022716396376,0,0,0,0.4983256795427428
proportional_0.50,dirichlet_0.1,0.1,high,joint_linear,30,0.2888888888888889,13.866666666666667,-0.19375000000000003,-9.3,-0.2201388888888889,-0.1673611111111111,-0.23541666666666666,-11.3,0.0,0.8944444444444445,0.125,0.125,0.46107784431137727,0.8611111111111112,0.5171085678341039,0.48928614035096396,0,0,0,0.4983256795427428
proportional_0.50,dirichlet_0.1,0.1,moderate,equal,30,0.7215277777777777,34.633333333333326,0.0,0.0,0.0,0.0,-0.00416666666666667,-0.20000000000000018,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.9209117412923723,0,0,0,0.49937549836004363
proportional_0.50,dirichlet_0.1,0.1,moderate,drf,30,0.7256944444444444,34.83333333333333,0.00416666666666667,0.20000000000000018,-0.013888888888888885,0.022916666666666682,0.0,0.0,0.0,0.25,0.25,0.375,0.05389221556886228,0.05000000000000001,0.19002770616213666,0.9131450423046316,0,0,0,0.49937549836004363
proportional_0.50,dirichlet_0.1,0.1,moderate,joint_linear,30,0.4763888888888888,22.866666666666664,-0.24513888888888893,-11.76666666666667,-0.2756944444444444,-0.2125,-0.24930555555555553,-11.966666666666665,0.0,0.8333333333333334,0.125,0.25,0.36077844311377244,0.8277777777777777,0.40552942484259424,0.5612908892856258,0,0,0,0.49937549836004363
proportional_0.75,dirichlet_0.1,0.1,high,equal,30,0.4763888888888888,22.866666666666664,0.0,0.0,0.0,0.0,-0.0451388888888889,-2.1666666666666674,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.9044910326876869,0,0,0,0.7475020543619311
proportional_0.75,dirichlet_0.1,0.1,high,drf,30,0.5215277777777777,25.03333333333333,0.0451388888888889,2.1666666666666674,0.02777777777777778,0.06249999999999999,0.0,0.0,0.0,0.20555555555555555,0.125,0.375,0.25748502994011974,0.27777777777777773,0.1982222198887333,0.9041219070957638,0,0,0,0.7475020543619311
proportional_0.75,dirichlet_0.1,0.1,high,joint_linear,30,0.40069444444444446,19.233333333333334,-0.07569444444444444,-3.633333333333333,-0.09444444444444443,-0.05694444444444444,-0.12083333333333332,-5.799999999999999,0.0,0.5444444444444444,0.125,0.25,0.5823353293413174,0.8666666666666668,0.3500263600667462,0.7139451063531799,0,0,0,0.7475020543619311
proportional_0.75,dirichlet_0.1,0.1,moderate,equal,30,0.7104166666666666,34.099999999999994,0.0,0.0,0.0,0.0,-0.021527777777777778,-1.0333333333333332,0.0,0.0,0.5,0.625,0.0,0.0,0.0,0.9322911717457073,0,0,0,0.7485764936539698
proportional_0.75,dirichlet_0.1,0.1,moderate,drf,30,0.7319444444444445,35.13333333333334,0.021527777777777778,1.0333333333333332,0.009027777777777779,0.031944444444444456,0.0,0.0,0.0,0.29444444444444445,0.25,0.5,0.2275449101796407,0.25555555555555554,0.17636518588123046,0.9225938242613154,0,0,0,0.7485764936539698
proportional_0.75,dirichlet_0.1,0.1,moderate,joint_linear,30,0.6006944444444445,28.833333333333336,-0.10972222222222223,-5.2666666666666675,-0.13263888888888886,-0.08680555555555555,-0.13125,-6.300000000000001,0.0,0.6888888888888889,0.125,0.5,0.5014970059880239,0.8555555555555556,0.29472462445733344,0.7585781857677067,0,0,0,0.7485764936539698
unit,dirichlet_0.1,0.1,high,equal,30,0.48611111111111105,23.33333333333333,0.0,0.0,0.0,0.0,-0.03263888888888889,-1.5666666666666669,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.8362062231193627,0,0,0,0.025575520681481837
unit,dirichlet_0.1,0.1,high,drf,30,0.51875,24.900000000000002,0.03263888888888889,1.5666666666666669,0.02013888888888889,0.045156249999999926,0.0,0.0,0.005555555555555556,0.16666666666666666,0.0,0.125,0.0014970059880239522,0.005555555555555555,0.19944752600947108,0.8737277527264395,0,0,0,0.025575520681481837
unit,dirichlet_0.1,0.1,high,joint_linear,30,0.0763888888888889,3.666666666666667,-0.40972222222222227,-19.666666666666668,-0.4416666666666667,-0.3777777777777779,-0.44236111111111115,-21.233333333333334,0.6055555555555555,0.9611111111111111,0.0,0.0,0.3787425149700599,0.8388888888888889,0.8302338830573918,0.12188399792432797,0,0,0,0.025575520681481837
unit,dirichlet_0.1,0.1,moderate,equal,30,0.7083333333333334,34.0,0.0,0.0,0.0,0.0,-0.013888888888888885,-0.6666666666666665,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.8839457514827413,0,0,0,0.01751432632830604
unit,dirichlet_0.1,0.1,moderate,drf,30,0.7222222222222221,34.66666666666666,0.013888888888888885,0.6666666666666665,-0.005555555555555562,0.03333333333333333,0.0,0.0,0.005555555555555556,0.16111111111111112,0.0,0.375,0.0,0.0,0.18884459880077029,0.9073496566690765,0,0,0,0.01751432632830604
unit,dirichlet_0.1,0.1,moderate,joint_linear,30,0.13749999999999998,6.6,-0.5708333333333333,-27.4,-0.6111284722222223,-0.5256770833333333,-0.5847222222222223,-28.06666666666667,0.49444444444444446,0.9777777777777777,0.0,0.0,0.27694610778443113,0.7666666666666667,0.6417605981177016,0.15669481586928222,0,0,0,0.01751432632830604
zero,dirichlet_0.1,0.1,high,equal,30,0.48611111111111105,23.33333333333333,0.0,0.0,0.0,0.0,-0.03263888888888889,-1.5666666666666669,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.8362062231193627,0,0,0,0.0
zero,dirichlet_0.1,0.1,high,drf,30,0.51875,24.900000000000002,0.03263888888888889,1.5666666666666669,0.020121527777777773,0.045833333333333344,0.0,0.0,0.005555555555555556,0.16666666666666666,0.0,0.125,0.0,0.0,0.19944752600947108,0.8737277527264395,0,0,0,0.0
zero,dirichlet_0.1,0.1,high,joint_linear,30,0.05277777777777778,2.533333333333333,-0.4333333333333334,-20.800000000000004,-0.46321180555555563,-0.40137152777777785,-0.4659722222222222,-22.366666666666664,0.7944444444444444,0.9611111111111111,0.0,0.0,0.37425149700598803,0.8388888888888889,0.8420366265794514,0.09681252880155118,0,0,0,0.0
zero,dirichlet_0.1,0.1,moderate,equal,30,0.7083333333333334,34.0,0.0,0.0,0.0,0.0,-0.013888888888888885,-0.6666666666666665,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.8839457514827413,0,0,0,0.0
zero,dirichlet_0.1,0.1,moderate,drf,30,0.7222222222222221,34.66666666666666,0.013888888888888885,0.6666666666666665,-0.005572916666666671,0.03333333333333333,0.0,0.0,0.005555555555555556,0.16111111111111112,0.0,0.375,0.0,0.0,0.18884459880077029,0.9073496566690765,0,0,0,0.0
zero,dirichlet_0.1,0.1,moderate,joint_linear,30,0.10138888888888888,4.866666666666666,-0.6069444444444445,-29.133333333333336,-0.6465277777777777,-0.5631597222222224,-0.6208333333333333,-29.8,0.7722222222222223,0.9777777777777777,0.0,0.0,0.27395209580838326,0.7611111111111111,0.6480070786769591,0.12761719840119676,0,0,0,0.0
proportional_0.10,iid_uniform,,high,equal,30,0.5180555555555556,24.866666666666667,0.0,0.0,0.0,0.0,-0.004166666666666667,-0.2,0.0,0.0,0.25,0.36875000000000013,0.0,0.0,0.0,0.9097916948864657,0,0,0,0.09767612704541627
proportional_0.10,iid_uniform,,high,drf,30,0.5222222222222223,25.06666666666667,0.004166666666666667,0.2,-0.007638888888888886,0.017361111111111115,0.0,0.0,0.0,0.2,0.25,0.375,0.0,0.0,0.10712167963036223,0.9062742111131087,0,0,0,0.09767612704541627
proportional_0.10,iid_uniform,,high,joint_linear,30,0.08055555555555555,3.8666666666666663,-0.4375,-21.0,-0.4562500000000001,-0.41805555555555557,-0.44166666666666665,-21.2,0.6166666666666667,0.9777777777777777,0.0,0.0,0.4847222222222222,0.9722222222222222,0.8814073238989786,0.09023333827486356,0,0,0,0.09767612704541627
proportional_0.10,iid_uniform,,moderate,equal,30,0.7215277777777779,34.63333333333334,0.0,0.0,0.0,0.0,-0.02847222222222222,-1.3666666666666667,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.9316523959629802,0,0,0,0.09854159388647049
proportional_0.10,iid_uniform,,moderate,drf,30,0.7499999999999998,35.999999999999986,0.02847222222222222,1.3666666666666667,0.011111111111111108,0.04583333333333333,0.0,0.0,0.0,0.14444444444444443,0.375,0.5,0.0,0.0,0.10036770199942646,0.9357585650599981,0,0,0,0.09854159388647049
proportional_0.10,iid_uniform,,moderate,joint_linear,30,0.23888888888888893,11.466666666666669,-0.4826388888888889,-23.166666666666668,-0.5062500000000001,-0.45833333333333337,-0.5111111111111111,-24.53333333333333,0.06666666666666667,0.9833333333333333,0.0,0.0,0.2902777777777778,0.8166666666666667,0.7122760579163757,0.19053868554368475,0,0,0,0.09854159388647049
proportional_0.25,iid_uniform,,high,equal,30,0.5145833333333334,24.700000000000003,0.0,0.0,0.0,0.0,-0.007638888888888878,-0.36666666666666614,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.9093729532912711,0,0,0,0.24849885609204975
proportional_0.25,iid_uniform,,high,drf,30,0.5222222222222223,25.06666666666667,0.007638888888888878,0.36666666666666614,-0.004861111111111122,0.020833333333333325,0.0,0.0,0.0,0.19444444444444445,0.25,0.375,0.0,0.0,0.10364341175440267,0.9062742111131087,0,0,0,0.24849885609204975
proportional_0.25,iid_uniform,,high,joint_linear,30,0.18819444444444447,9.033333333333335,-0.3263888888888888,-15.66666666666666,-0.3458506944444445,-0.3076215277777778,-0.3340277777777778,-16.033333333333335,0.016666666666666666,0.9722222222222222,0.0,0.125,0.49027777777777776,0.9666666666666666,0.7575247560812086,0.2215909648598017,0,0,0,0.24849885609204975
proportional_0.25,iid_uniform,,moderate,equal,30,0.7208333333333331,34.59999999999999,0.0,0.0,0.0,0.0,-0.029166666666666667,-1.4,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.9343577287217322,0,0,0,0.2485653887531167
proportional_0.25,iid_uniform,,moderate,drf,30,0.7499999999999998,35.999999999999986,0.029166666666666667,1.4,0.015260416666666658,0.04444444444444443,0.0,0.0,0.0,0.15555555555555556,0.375,0.5,0.0,0.0,0.0980578777384823,0.9357585650599981,0,0,0,0.2485653887531167
proportional_0.25,iid_uniform,,moderate,joint_linear,30,0.3138888888888889,15.066666666666666,-0.40694444444444444,-19.53333333333333,-0.42986111111111114,-0.3833333333333334,-0.43611111111111106,-20.93333333333333,0.0,0.9555555555555556,0.125,0.125,0.3402777777777778,0.8777777777777777,0.6446422469206364,0.2801108896890189,0,0,0,0.2485653887531167
proportional_0.50,iid_uniform,,high,equal,30,0.5152777777777778,24.733333333333334,0.0,0.0,0.0,0.0,-0.006944444444444444,-0.3333333333333333,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.9117812714661218,0,0,0,0.49859127507673384
proportional_0.50,iid_uniform,,high,drf,30,0.5222222222222223,25.06666666666667,0.006944444444444444,0.3333333333333333,-0.0027951388888889034,0.016684027777777694,0.0,0.0,0.0,0.19444444444444445,0.25,0.375,0.0,0.0,0.1097730498185401,0.9062742111131087,0,0,0,0.49859127507673384
proportional_0.50,iid_uniform,,high,joint_linear,30,0.3152777777777779,15.133333333333338,-0.20000000000000004,-9.600000000000001,-0.21874999999999997,-0.18055555555555552,-0.20694444444444443,-9.933333333333334,0.0,0.8833333333333333,0.125,0.125,0.5611111111111111,1.0,0.5677354112438232,0.4539087882739066,0,0,0,0.49859127507673384
